Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2015.03,Rest of the world,611,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,1574
2015.03,Rest of the world,611,Financial assets Closing balance currency and deposits,LE00000,AFA0200,29836
2015.03,Rest of the world,611,Financial assets Closing balance debt securities,LE00000,AFA0300,147638
2015.03,Rest of the world,611,Financial assets Closing balance loans,LE00000,AFA0400,59925
2015.03,Rest of the world,611,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,94362
2015.03,Rest of the world,611,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,C
2015.03,Rest of the world,611,Financial assets Closing balance financial derivatives,LE00000,AFA0700,24934
2015.03,Rest of the world,611,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,C
2015.03,Rest of the world,611,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,217788
2015.03,Rest of the world,611,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,1414
2015.03,Rest of the world,611,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,14550
2015.03,Rest of the world,611,Financial liabilities Closing balance debt securities,LE00000,AFL0300,56842
2015.03,Rest of the world,611,Financial liabilities Closing balance loans,LE00000,AFL0400,19812
2015.03,Rest of the world,611,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,85873
2015.03,Rest of the world,611,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,6620
2015.03,Rest of the world,611,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,21371
2015.03,Rest of the world,611,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,11307
2015.03,Rest of the world,611,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,0
2015.03,Rest of the world,611,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,0
